1;0;0;00000100;brown shirts;$34.43;300
2;0;0;10000011;green shorts;$32.41;231
3;0;0;02234344;shaving cream;$14.23;443
4;0;0;12341233;green beer;$4.43;29
5;0;0;12100222;black shoes;$67.41;94
6;0;0;12231222;coffee;$10.23;99
7;0;0;10001222;black combs;$1.43;23
8;0;0;14311222;printer red ink;$43.43;745
9;0;0;02111222;scissors;$24.55;12
10;0;0;13111222;red tape;$4.03;45
11;0;0;14111222;black pens;$2.43;32
12;0;0;15111222;red pens;$1.43;134
13;0;0;16111222;pencils;$0.43;231
14;0;0;17111222;hard drives;$50.54;222
15;0;0;18111222;sofas;$400.43;3
16;0;0;19111222;chairs;$314.43;32
17;0;0;12001222;mp3 players;$20.43;67
18;0;0;12111222;white shoes;$44.53;62
19;0;0;12121222;pen drives;$19.43;33
